msa_id,msa_name,county_fips,county_name
10180,"Abilene, TX (Metropolitan Statistical Area)",48059,"Callahan, TX"
10180,"Abilene, TX (Metropolitan Statistical Area)",48253,"Jones, TX"
10180,"Abilene, TX (Metropolitan Statistical Area)",48441,"Taylor, TX"
10420,"Akron, OH (Metropolitan Statistical Area)",39133,"Portage, OH"
10420,"Akron, OH (Metropolitan Statistical Area)",39153,"Summit, OH"
10500,"Albany, GA (Metropolitan Statistical Area)",13007,"Baker, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13095,"Dougherty, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13177,"Lee, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13273,"Terrell, GA"
10500,"Albany, GA (Metropolitan Statistical Area)",13321,"Worth, GA"
10540,"Albany, OR (Metropolitan Statistical Area)",41043,"Linn, OR"
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36001,"Albany, NY"
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36083,"Rensselaer, NY"
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36091,"Saratoga, NY"
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36093,"Schenectady, NY"
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",36095,"Schoharie, NY"
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35001,"Bernalillo, NM"
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35043,"Sandoval, NM"
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35057,"Torrance, NM"
10740,"Albuquerque, NM (Metropolitan Statistical Area)",35061,"Valencia, NM"
10780,"Alexandria, LA (Metropolitan Statistical Area)",22043,"Grant, LA"
10780,"Alexandria, LA (Metropolitan Statistical Area)",22079,"Rapides, LA"
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",34041,"Warren, NJ"
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42025,"Carbon, PA"
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42077,"Lehigh, PA"
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42095,"Northampton, PA"
11020,"Altoona, PA (Metropolitan Statistical Area)",42013,"Blair, PA"
11100,"Amarillo, TX (Metropolitan Statistical Area)",48011,"Armstrong, TX"
11100,"Amarillo, TX (Metropolitan Statistical Area)",48065,"Carson, TX"
11100,"Amarillo, TX (Metropolitan Statistical Area)",48359,"Oldham, TX"
11100,"Amarillo, TX (Metropolitan Statistical Area)",48375,"Potter, TX"
11100,"Amarillo, TX (Metropolitan Statistical Area)",48381,"Randall, TX"
11180,"Ames, IA (Metropolitan Statistical Area)",19169,"Story, IA"
11260,"Anchorage, AK (Metropolitan Statistical Area)",02020,"Anchorage Municipality, AK"
11260,"Anchorage, AK (Metropolitan Statistical Area)",02170,"Matanuska-Susitna Borough, AK"
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",26161,"Washtenaw, MI"
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",01015,"Calhoun, AL"
11540,"Appleton, WI (Metropolitan Statistical Area)",55015,"Calumet, WI"
11540,"Appleton, WI (Metropolitan Statistical Area)",55087,"Outagamie, WI"
11700,"Asheville, NC (Metropolitan Statistical Area)",37021,"Buncombe, NC"
11700,"Asheville, NC (Metropolitan Statistical Area)",37087,"Haywood, NC"
11700,"Asheville, NC (Metropolitan Statistical Area)",37089,"Henderson, NC"
11700,"Asheville, NC (Metropolitan Statistical Area)",37115,"Madison, NC"
