Page,Part,Unique ID,Question,Answer type,Answer worth,Section
1,1,1,"Before I do something, I think about the good and bad things that can happen.",E,5 4 3 2 1,
1,1,2,I can stick to my plans and goals.,E,5 4 3 2 1,
1,1,3,I often think about what will happen in the next few days or weeks.,E,5 4 3 2 1,
1,1,4,I set goals for what I want to do or have a few years from now.,E,5 4 3 2 1,
1,1,5,I would rather save my money for something I might need later than spend it on something fun now.,E,5 4 3 2 1,
1,1,6,I spend more time on what I have to do (like homework) than on things I want to do (like playing games).,E,5 4 3 2 1,
2,2,7,I can control the way I act.,E,5 4 3 2 1,
2,2,8,I can solve hard problems or puzzles if I keep working on them.,E,5 4 3 2 1,
2,2,9,I think saving money is something both kids and adults should do.,E,5 4 3 2 1,
2,2,10,I don’t have to buy things my friends have.,E,5 4 3 2 1,
2,2,11,I don’t need to have a lot of money and expensive things.,E,5 4 3 2 1,
2,2,12,I plan for how I'll spend my money.,E,5 4 3 2 1,
2,2,13,I’m good at keeping track of how much money I have and spend.,E,5 4 3 2 1,
2,2,14,I can reach my money goals.,E,5 4 3 2 1,
3,3,15,"Before I buy something that costs a lot, I learn about my options to find the one that’s right for me.",E,5 4 3 2 1,
3,3,16,I know how to protect my money from being lost or stolen.,E,5 4 3 2 1,
3,3,17,"Compared to others my age, I know more about how to save money.",E,5 4 3 2 1,
3,3,18,"Compared to others my age, I know more about how to spend money within a budget.",E,5 4 3 2 1,
3,3,19,"Compared to others my age, I know more about how to borrow money and pay it back.",E,5 4 3 2 1,
3,3,20,"Compared to others my age, I know more about how to make money by doing jobs, chores, or other things.",E,5 4 3 2 1,
