OPE ID,School,Recipients
00100200, Alabama Agricultural & Mechanical University,99.0
00100300, Faulkner University,22.0
00100400, University of Montevallo,21.0
00100500, Alabama State University,82.0
00100700, Central Alabama Community College,
00100800, Athens State University,
00100900, Auburn University,1128.0
00101200, Birmingham-Southern College,183.0
00101300, Calhoun Community College,
00101500, Enterprise State Community College,
00101600, University of North Alabama,
00101700, Gadsden State Community College,
00101800, George C. Wallace Community College,
00101900, Huntingdon College,90.0
00102000, Jacksonville State University,
00102100, Jefferson Davis Community College,
00102200, Jefferson State Community College,
00102300, Judson College,12.0
00102400, University of West Alabama,32.0
00102600, Marion Military Institute,
00102800, Miles College,
00102900, University of Mobile,12.0
00103000, Bishop State Community College,
00103100, Northeast Alabama Community College,
00103300, Oakwood University,
00103400, Alabama Southern Community College,
00103600, Samford University,268.0
00103800, Snead State Community College,
00104000, Southern Union State Community College,
00104100, Spring Hill College,158.0
00104400, Stillman College,
00104600, Talladega College,
00104700, Troy University,34.0
00105000, Tuskegee University,431.0
00105100, University of Alabama,641.0
00105200, University of Alabama at Birmingham,686.0
00105500, University of Alabama in Huntsville,
00105700, University of South Alabama,107.0
00105900, Lawson State Community College,
00106000, James H. Faulkner State Community College,
00106100, Alaska Pacific University,
00106300, University of Alaska Fairbanks,
00106500, University of Alaska Southeast,
00107000, Thunderbird School of Global Management,91.0
00107100, Arizona Western College,
00107200, Cochise College,
00107300, Eastern Arizona College,
00107400, Grand Canyon University,230.0
00107600, Glendale Community College,
00107700, Mesa Community College,
00107800, Phoenix College,
00107900, Yavapai College,2.0
00108100, Arizona State University,668.0
00108200, Northern Arizona University,366.0
00108300, University of Arizona (The),429.0
00108500, University of Arkansas at Monticello,
00108600, University of Arkansas at Pine Bluff,
00108700, Arkansas Baptist College,
00108800, Lyon College,37.0
00108900, Arkansas Tech University,56.0
00109000, Arkansas State University,466.0
00109100, Arkansas State University - Beebe,
00109200, University of Central Arkansas,321.0
00109300, Central Baptist College,
00109400, University of the Ozarks,
00109500, Crowley's Ridge College,
00109700, Harding University,473.0
00109800, Henderson State University,49.0
00109900, Hendrix College,87.0
00110000, John Brown University,83.0
00110100, University of Arkansas at Little Rock,
00110200, Ouachita Baptist University,26.0
00110300, Philander Smith College,
00110400, Phillips Community College of the University of Arkansas,
00110500, Shorter College,
00110600, Williams Baptist College,
00110700, Southern Arkansas University,38.0
00110800, University of Arkansas,817.0
00110900, University of Arkansas for Medical Sciences,34.0
00111000, University of Arkansas at Fort Smith,
00111100, Allan Hancock College,
00111300, Antelope Valley College,
00111600, Art Center College of Design,21.0
00111700, Azusa Pacific University,259.0
00111800, Bakersfield College,
00111900, Barstow Community College,
00112200, Biola University,249.0
00112300, Brooks Institute,
00112400, Cabrillo College,
00112500, California Baptist University,51.0
00112700, California College of the Arts,51.0
00113100, California Institute of Technology,180.0
00113200, California Institute of the Arts,334.0
00113300, California Lutheran University,73.0
00113400, California Maritime Academy,194.0
00113700," California State University, Fullerton",473.0
00113800," California State University, East Bay",212.0
00113900," California State University, Long Beach",1248.0
00114000," California State University, Los Angeles",7.0
00114100," California State University, Dominguez Hills",265.0
00114200," California State University, San Bernardino",64.0
00114300, California Polytechnic State University,228.0
00114400," California State Polytechnic University, Pomona",285.0
00114600," California State University, Chico",299.0
00114700," California State University, Fresno",83.0
00114900, Humboldt State University,103.0
00115000, California State University - Sacramento,245.0
00115100, San Diego State University,207.0
